
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$2,484 - $11,390 per month",,,,,"An unmatched Medford location. A luxury studio, one, two, or three bedroom residence. Lifestyle-centric community amenities. This is what Arcadia at Rivers Edge has in store for you when you lease one of our upscale apartment homes.Bringing you so much more than just a home, Arcadia at Rivers Edge delivers an authentic, close-to-the-city living destination in an incredibly rare setting. Our","100 Rivers Edge Dr, Medford, MA 02155",
"$4,000 per month",2 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Welcome to 519 on Broadway! This penthouse unit features 2 bedrooms, 1 bath, a covered balcony, a large private roof deck with views of downtown and garage parking. In addition to the two private outdoor spaces, all units have access to the common rooftop, Skyview Observation Deck that offers a community kitchen and views of the Boston skyline. To round out this amazing offering, residents also","85 Medford St Unit PH5, Medford, MA 02155",Daniel Resop
"$2,990 - $7,299 per month",,,,,"Welcome to Wellington Place, where modern living meets convenience in Medford, MA. Located just 0.5 miles from the Orange Line T Station and less than 1 mile from I-93, our community provides seamless access to Boston and neighboring cities. Our pet-friendly community features spacious, updated apartments designed for your active lifestyle. Enjoy a refreshing dip in the pool, unwind by the","34 Brainard Ave, Medford, MA 02155",
"$3,750 per month",3 Beds,2 Baths,"1,300 Sq Ft",Apartment for Rent,"Be the first to live in this newly renovated top floor 3BR / 2 Bath with flowing natural light from two exposures and generously sized bedrooms. Updates include newly refinished hardwood floors, stone countertops, new appliances, and fresh paint throughout. The front-facing bedroom hosts an oversized, walk-in closet with en-suite primary bath. Two large bedrooms connect to a large entry foyer","417 Salem St Unit 3, Medford, MA 02155",Michael Valencius
"$2,365 - $10,187 per month",,,,,"Live along the banks of the Mystic River in Medford's newest luxury apartments. Lumiere offers the perfect blend of tranquility and convenience just minutes from downtown Boston. Choose from studios, or one and two bedroom apartment styles, each highlighting a new perspective on modern living. Expansive windows overlook the twinkling Boston skyline and Mystic River; stunning interiors feature","3780 Mystic Valley Pkwy, Medford, MA 02155",
"$4,000 per month",3 Beds,1.5 Baths,"1,676 Sq Ft",House for Rent,"Located in the Fulton Heights neighborhood with less than 15 minutes drive to Downtown Boston and 5 minutes to Orange Line T Station, this YOUNG, and well maintained single family house is a rare found in Medford. Its south-facing provides the gift of natural light throughout the day. The 1st floor features a well-designed kitchen with stainless steel appliances, granite countertops and a","188 Gaston St Unit F, Medford, MA 02155",Carlos Xu
"$2,680 - $8,280 per month",,,,,"Our office is open and we are offering flexible touring options to tour our community your way - in-person or virtually. Discover grand luxury at Windsors newest Medford location, Mystic River. Live in comfort and class in one of Massachusettss best neighborhoods. Experience peace and tranquility while enjoying world-class amenities and top-notch luxury finishes. This brand-new community offers","61 Locust St, Medford, MA 02155",
"$1,900 per month",1 Bed,1 Bath,600 Sq Ft,Apartment for Rent,"Clean and spacious older unit ready for occupancy , Medford Hillside Tufts University area, Public transportation runs throughout the area with The Green line extension very close proximity  connecting all trains to Down town Boston and beyond. I-93 Routes 2,38,16 are all nearby . Easy to show !.","324 Boston Ave Unit 3, Medford, MA 02155",David Keane
"$3,200 - $4,200 per month",,,,,"LOCATION---LOCATION--LOCATION--- LUXURY Upscale unit in Medford on the Somerville Line. Three different one and two bedroom floor plans available. All units have high end finishes which include custom cabinets, top of the line appliances, quartz counter tops, recess lighting, ceramic tile bathrooms, high ceilings, walk in closets, state of the art energy efficient over sized acoustical windows","640 Boston Ave, Medford, MA 02155",
"$4,225 per month",6 Beds,2 Baths,"2,200 Sq Ft",Apartment for Rent,"Newly Renovated minutes to Tufts University. Modern Kitchen with Granite Counter tops, Stainless Steel Appliances, Dishwasher, Disposal. New ceramic tile throughout + Gleaming Hardwood Floors. Large Bedrooms all with closets. Plenty of Storage. House has been Fully insulated to save on heating and cooling. Freshly Pained walls, New windows and much more!    Laundry In Basement, first, last,","227 Boston Ave Unit 2, Medford, MA 02155",Julian Lewis
"$2,800 per month",2 Beds,1 Bath,Condo for Rent,,"This nice 2 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 06-01-2025.  Included Features are: Yard, Rear Porch, and Laundry in Unit. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about","30 Holton St Unit 1, Medford, MA 02155",
"$3,400 per month",3 Beds,1 Bath,"2,300 Sq Ft",House for Rent,"This 3-bedroom, 1-bathroom unit offers a comfortable and well-maintained living space with beautiful hardwood floors throughout! The kitchen features brand-new stainless steel appliances, and the unit provides plenty of storage to keep things organized. Large windows bring in abundant natural light, creating a bright and airy atmosphere. The dining and living rooms provide even more room to","42 Chipman St Unit 2, Medford, MA 02155",Max Alibrandi
"$2,850 per month",3 Beds,1 Bath,Condo for Rent,,"This nice 3 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 03-01-2025.  Included Features are: Oil Heat, Yard, and Laundry in Unit.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","7 North St, Medford, MA 02155",
"$3,500 per month",2 Beds,2 Baths,"1,229 Sq Ft",Condo for Rent,"This stunning 11th-floor residence at Mystic River Park offers spectacular sunsets, breathtaking Mystic River views, and easy access to McDonald Park’s walking/biking trails. The open living and dining area leads to a private balcony, filling the space with natural light. The unit features 2 bedrooms, 2 updated baths, an updated kitchen with sleek finishes, wood floors, in-unit laundry, and 2","3920 Mystic Valley Pkwy Unit 1124, Medford, MA 02155",Judy Sousa
"$2,850 per month",2 Beds,1 Bath,Condo for Rent,,"This nice 2 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 04-01-2025.  Included Features are: Gas Heat, Yard, and Laundry in Unit.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","4 Goldsmith Ave Unit 2, Medford, MA 02155",
"$2,850 per month",3 Beds,1 Bath,"1,200 Sq Ft",Apartment for Rent,"Spacious 3 bed, 1 bath available for immediate move-in! Unit was completely refurbished in 2023 and comprises the entirety of the second-floor in this 2-family house. Enjoy your own private unit entry, newly refinished hardwood floors, high ceilings, updated light fixtures, and a completely remodeled kitchen/bathroom. The primary living room space is conveniently situated right by the front","7 North St Unit 2, Medford, MA 02155",Joe Danisch
"$4,800 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 09-01-2025.  Included Features are: Oil Heat, Gas Hot Water, Deck, and Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and","3 Capen St Unit 3, Medford, MA 02155",
"$4,500 per month",5 Beds,2 Baths,"1,500 Sq Ft",Condo for Rent,"Large Medford townhome situated on a corner lot and paved driveway. The home features 3 spacious bedrooms on the upper lever and two bonus bedrooms and a second living area on the lower level. Two bathrooms and a spacious eat in kitchen, hardwood floors throughout, and in-unit washer/dryer. Close to Assembly Row and Wegman's, with easy access to downtown Boston via 325 Express Bus and the Orange","349 Salem St Unit 349, Medford, MA 02155",Sherean Azarmi
"$3,950 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the MEDFORD - TUFTS area is available for Now.  Included Features are: Private, and Laundry in Unit.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","269 Boston Ave Unit 2, Medford, MA 02155",
"$3,800 per month",3 Beds,1 Bath,"1,200 Sq Ft",House for Rent,Welcome to this fully renovated three bedroom single-family home located in a highly desirable area. Washer and dryer in basement as well as off street parking. Schedule your appointment to view today!,"49 Fellsview Ave, Medford, MA 02155",Eric McNeill
"$4,500 per month",4 Beds,2 Baths,Condo for Rent,,"This nice 4 Bed 2 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 07-01-2025.  Included Features are: Gas Heat, Yard, and Laundry in Coin-Op.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information","125 Spring St Unit 2, Medford, MA 02155",
"$4,500 per month",4 Beds,2 Baths,"99,999 Sq Ft",Apartment for Rent,"Oversized Medford duplex with four bedrooms and 2 full baths.  Large updated kitchen, includes a gas stove and dishwasher. Nice hardwood flooring on second level of unit and carpeting on first level of the unit. Two porches. Laundry in unit. Great location in Medford near Wellington T, Somerville and Assembly shops and restaurants.","55 Kenmere Rd Unit 55, Medford, MA 02155",Matthew Schuster
"$4,225 per month",5 Beds,2 Baths,Condo for Rent,,"This nice 5 Bed 2 Bath place in the MEDFORD - TUFTS area is available for 09-01-2025.  Included Features are: Deck, Balcony, and Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","227 Boston Ave Unit 2, Medford, MA 02155",
"$4,600 per month",4 Beds,2 Baths,"1,600 Sq Ft",Apartment for Rent,"4 bedroom 2 bathroom in great location! 45 Pearl St. is situated on a quiet street just around the corner from Tufts University. With driveway parking available, as well as easy street parking, this location also is a very short distance to I-93. The space itself is comprised of the second and third floor of a 3 story, 2 family house. The first floor has one bedroom, one bathroom, the kitchen,","45 Pearl St Unit 2, Medford, MA 02155",John Danisch
"$3,450 per month",3 Beds,1 Bath,"1,133 Sq Ft",Townhouse for Rent,"Spacious 3 bedroom 1 bathroom in Medford near Tufts University. Hardwood floors throughout. Laundry in the basement. Pets are ok, but no huge dogs please. Plenty of street parking is available, and no permit is required.  (Reference #128791)","7 Greenleaf Ave, Medford, MA 02155",
"$2,000 per month",1 Bed,1 Bath,800 Sq Ft,Condo for Rent,"Spacious Furnished Top Floor 1-Bedroom Suite in Medford – Private & Convenient!Welcome to this private third floor suite of 18 Ship Ave, Unit 1—a unique rental opportunity in a prime Medford location! This spacious suite offers a 1-bedroom, 1-bathroom layout with exclusive use of the entire top floor, including a walk-in closet and full bathroom. Enjoy the perfect balance of privacy and shared","18 Ship Ave Unit 1, Medford, MA 02155",Aaron Guo
"$7,995 per month",5 Beds,5.5 Baths,"2,103 Sq Ft",Condo for Rent,Property Id: 1745155Beautiful rental unit located in Medford- 5 bedroom(s) and 5.5 bathroom(s)- Located on the first floor- 2103 square feet of living space- Heating is generated by gas- A/C is available- 2 parking space(s) available- Move in date: 06/01/2025- Certain pets are allowed- Smoking is not allowed- Laundry is in the unit- Rent,"70-72 Stanley Ave Unit 1, Medford, MA 02155",
"$3,900 per month",4 Beds,1.5 Baths,"2,235 Sq Ft",Condo for Rent,"Available now! Spacious and sunlit upper-level condo spanning across the 2nd & 3rd floors, featuring a private roof deck, fenced-in common outdoor space, and two off-street parking spaces. The flexible layout offers 4 bedrooms, 1.5 bathrooms, and an open-concept kitchen, dining, and living area. A sun porch doubles as a perfect home office, while the 3rd floor great room provides a generous bonus","338 Riverside Ave Unit 2, Medford, MA 02155",Erika Tarlow
"$5,500 per month",5 Beds,2 Baths,"1,895 Sq Ft",Townhouse for Rent,"Spacious apartment near Tufts in Medford, a 12-minute walk to the Green Line T. Flexible layout with 5 bedrooms and 2 bathrooms. Features include hardwood floors, dining room, eat-in kitchen (microwave, dishwasher, gas stove), in-unit laundry, two off-street parking spaces, and a deck. Cats and dogs are negotiable. (Reference #180280)","22 Harris Rd, Medford, MA 02155",
"$2,600 per month",2 Beds,1 Bath,900 Sq Ft,Apartment for Rent,"Available Immediately ! Highly sought after neighborhood of Medford convenient to Ball, Magoun Davis Squares, Tufts University, and the Mystic River. This home provides easy access to retail stores, restaurants, Route 93, and public transportation (red line, green line, and bus). The unit features an oversized foyer/entryway, open living room that flows into the dining area, large eat in kitchen","77 Billings Ave Unit 77, Medford, MA 02155",Jay Najarian
"$4,800 per month",4 Beds,1 Bath,"1,494 Sq Ft",Townhouse for Rent,Spacious 4 bedroom 1 bathroom in Medford near Tufts University. Hardwood floors throughout.  Eat-in kitchen with dishwasher.  Shared off street parking. (Reference #180385),"10 Greenleaf Ave, Medford, MA 02155",
"$3,875 per month",3 Beds,1 Bath,"1,134 Sq Ft",Apartment for Rent,"Available March 1st. NO BROKER FEE. Newly renovated and perfectly situated South Medford/Tufts University expansive apartment. Minutes to Tufts, I-93, shops and restaurants, Assembly Row, Station Landing, Encore, and the Green Line. Easy access to Downtown Boston, Cambridge and the Rt-128 and I-95 belt. Completely remodeled with sparkling new stainless steel kitchen appliances and a stunning","70 Billings Ave Unit 2, Medford, MA 02155",Randall Horn
"$6,975 per month",6 Beds,5.5 Baths,"2,215 Sq Ft",Condo for Rent,Property Id: 1743740Beautiful single family located in Medford- 6 bedroom(s) and 5 bathroom(s)- Located on the first floor- 2215 square feet of living space- Heating is generated by gas- A/C is available- 6 parking space(s) available- Move in date: 06/01/2025- Certain pets are allowed- Smoking is not allowed- Laundry is in the unit- Rent,"5 Malvern Terrace Unit 5, Medford, MA 02155",
"$2,800 per month",2 Beds,1 Bath,"1,100 Sq Ft",Apartment for Rent,LOCATION LOCATION LOCATION! NEAR TUFTS! Two bedroom One bath apartment approximately 1/2 mile from Tufts on a gorgeous tree lined side street! Large renovated eat in kitchen with new Stainless Steel Appliances. Two large bedrooms with new floors. Washer/Dryer in unit. Off street Parking for 2 cars in the driveway as well as additional on street parking. A shared landscaped yard with patio for,"9 Brookings St Unit 1, Medford, MA 02155",Richard Pignone
"$1,750 per month",1 Bed,1 Bath,Condo for Rent,,"This nice 1 Bed 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 08-01-2025.  Included Features are: Laundry in Unit. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","63 Fellsway W Unit 7, Medford, MA 02155",
"$2,700 per month",2 Beds,2 Baths,"1,016 Sq Ft",Apartment for Rent,Very well maintained 2 bedroom and 2 bathroom in a well maintained building. Beautiful window views. This was an owner unit before owners decided to move to a single family. Large master bedroom with ensuite bath and walkin closet. Brand new pergo flooring. Central AC. In unit laundry. Balcony off the living room. Trash chute in the corridor. Elevator building with large hallways. One garage,"65 Valley St Unit 4F, Medford, MA 02155",Dev Goyal
"$1,750 per month",1 Bed,1 Bath,Condo for Rent,,"This nice 1 Bed 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 09-01-2025.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the","63 Fellsway W Unit 9, Medford, MA 02155",
$145 per month,House for Rent,,,,"Available Now!  Private, Off Street Parking Spot in Medford, MA near to I-93, Tufts and Green Line.  Located 10 min walk from the green line (Medford/Tufts T stop).  Perfect for a personal vehicle.  Easy commute to airport.  First month, last month and broker fee due up front.  Lease options flexible.  Vehicle must me registered and insured.  Tenant responsible for snow removal.  Garage is not","52 Windsor Rd, Medford, MA 02155",Henry Hodges
"$1,695 per month",Studio,1 Bath,Condo for Rent,,"This nice Studio 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 09-01-2025.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the","63 Fellsway W Unit 5, Medford, MA 02155",
"$3,300 per month",3 Beds,1 Bath,"1,150 Sq Ft",Condo for Rent,"This beautifully updated 3-bedroom, 1-bathroom apartment features a bright, open floor plan designed for modern living. The stunning 2020 designer kitchen boasts quartz countertops and ample cabinet space, while the stylish full bathroom was thoughtfully renovated in 2019. With dark walnut-stained hardwood floors, a private porch,1 dedicated driveway parking spot  (plus plenty of street parking),","63 Burnside St Unit 63, Medford, MA 02155",Jennifer Reyes
"$1,695 per month",Studio,1 Bath,Condo for Rent,,"This nice Studio 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 09-01-2025.  Included Features are: Laundry in Common Area. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","63 Fellsway W Unit 8, Medford, MA 02155",
"$2,400 per month",2 Beds,1 Bath,868 Sq Ft,Condo for Rent,"Welcome to 51 Albion St, Medford! This sunny and bright 3rd-floor unit offers 2 bedrooms and 1 full bath, perfectly blending comfort and convenience. A welcoming living room with a vaulted ceiling and skylights creates an inviting, airy atmosphere. The spacious eat-in kitchen is perfect for meals and gatherings, featuring brand-new appliances and fresh professional paint throughout. Gleaming","51 Albion St Unit B, Medford, MA 02155",Julian Nejaime
"$1,875 per month",1 Bed,1 Bath,Condo for Rent,,"This nice 1 Bed 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 09-01-2025.  Included Features are: Laundry in Unit. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties","63 Fellsway W Unit 1, Medford, MA 02155",
"$5,500 per month",5 Beds,2 Baths,"2,300 Sq Ft",Apartment for Rent,"Sunny and very spacious apartment in a quiet residential area of Medford. 2 blocks from park and tennis courts. Restaurants, coffee shops and Tufts U a 5 to 10-minute walk away, as is the TUFTS Green line stop. Close to Boston, Arlington, Cambridge, Winchester, and Somerville. 10 to 15-minute walk to downtown Medford. Library, City Hall, post office, shops, restaurants, offices, theater.","132 George St Unit 2, Medford, MA 02155",Daniel Deychman
"$4,600 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 06-01-2025.  Included Features are: Yard, and Laundry in Basement. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","10 Greenleaf Ave Unit 1, Medford, MA 02155",
"$3,500 per month",3 Beds,1 Bath,"1,200 Sq Ft",Apartment for Rent,"This well-maintained home features beautiful wood floors, natural woodwork, and flexible floor plan for work & study. 2nd floor previous owner's unit available for rent! Features 2017 gut-remodeled kitchen, granite counters, and in-unit laundry. Three bedrooms with amazing sunlight beaming through. Refreshed bathroom with front and back enclosed sun rooms. Full basement provides storage and work","565 Riverside Ave Unit 567, Medford, MA 02155",
"$1,695 per month",Studio,1 Bath,Condo for Rent,,"This nice Studio 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 09-01-2025.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the","63 Fellsway W Unit 17, Medford, MA 02155",
"$3,800 per month",3 Beds,2.5 Baths,"1,920 Sq Ft",Apartment for Rent,"This lovely townhouse is located in Medford's Shipside Village. This townhouse consists of 3 bedrooms and 2.5 baths. As you walk into the house on the lower level, there is one bedroom and a half bath. Walk up the stairs and find yourself in the living space. The living room, dining room, and kitchen all have an open feel with hardwoods throughout. The living room has a fireplace and a small","12 Ship Ave Unit 5, Medford, MA 02155",Ross Mason
"$1,750 per month",1 Bed,1 Bath,Condo for Rent,,"1 Bedroom near public transportation, full bathroom, stores, hardwood floorsBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained.","53 Fellsway W Unit 29, Medford, MA 02155",
"$6,975 per month",6 Beds,5.5 Baths,"2,215 Sq Ft",House for Rent,"Recently renovated single family home in Medford near Tufts University.  Home has 6 bedrooms, 5.5 baths and is available June 1.   High-end finishes throughout, including hardwood, stainless steel appliances, and granite countertops.  Large back deck, plus off-street parking, and washer/dryer in unit.","5 Malvern Terrace, Medford, MA 02155",Michael Cohen
"$1,725 per month",1 Bed,1 Bath,Condo for Rent,,"Spacious 1 Bedroom Apartment Spacious BedroomAmple Closets Lots of Windows and Natural Lighting Request Virtual Tour/Application Now!Wont Last!!Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description","63 Fellsway W Unit 3, Medford, MA 02155",
"$2,600 per month",2 Beds,2 Baths,"1,154 Sq Ft",Apartment for Rent,"**AVAILABLE NOW** First floor 2 bedroom apartment available for rent in an owner-occupied two-family. Great location in West Medford just a short distance to Tufts University and the MBTA Commuter Rail station. First floor unit has been freshly painted and features a brand new kitchen, dining room, living room, 1 large bedroom with an en suite full bath as well as an additional smaller bedroom","56 Bower St Unit 1, Medford, MA 02155",Jennifer Keenan
"$3,800 per month",4 Beds,1 Bath,Condo for Rent,,"This nice 4 Bed 1 Bath place in the MEDFORD - TUFTS area is available for Now.  Included Features are: Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect","9 Princeton St, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"2,100 Sq Ft",Apartment for Rent,"Large townhouse-style unit with 4 bedrooms and 4.5 bathrooms.  Each bedroom has its own bathroom and closet.  High-end finishes throughout, including hardwood, stainless steel appliances and granite countertops.  Large back porch off kitchen, plus off-street parking, and washer/dryer in unit.","478 Fulton St Unit 478, Medford, MA 02155",Michael Cohen
"$2,600 per month",1 Bed,1 Bath,Condo for Rent,,"This nice 1 Bed 1 Bath place in the MEDFORD - MEDFORD SQUARE area is available for 08-01-2025.  Included Features are: Gas Heat, and Laundry in Unit.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","117 Auburn St Unit 1, Medford, MA 02155",
"$8,975 per month",6 Beds,5 Baths,"2,441 Sq Ft",Apartment for Rent,"Large renovated duplex in Medford - six bedroom, five bathrooms. Great location near Tufts University. Three year old construction with new high end stainless steel appliances, granite, and fixtures. Large open kitchen with two refrigerators with island. Hardwood floors throughout. Central A/C and in unit washer and dryer. Several private suites. Easy street parking and off street parking","10 Marion St Unit 1, Medford, MA 02155",Michael Cohen
"$2,895 per month",2 Beds,1 Bath,Condo for Rent,,"JUNE 2025--Sweet Somerville 2 bed, H/HW incGreat two bedroom apartment in a quiet building on Broadway in the Winter Hill neighborhood of Somerville near Tufts. Great location a few minutes' drive to I-93 and the 89 Bus to Davis and Sullivan Squares. Includes heat and hot water, hardwood floors, recently renovated tiled kitchen, large sunny living room, full tiled bathroom, lots of closet","433 Broadway Unit 61, Somerville, MA 02145",
"$3,700 per month",3 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Located minutes from Tufts, Somerville, Boston, and nearby Whole Foods, Trader Joe’s, Wegmans, and other amenities, this recently renovated 3-bedroom, 1-bath offers spacious, modern living with an open-concept. The unit features hardwood floors, abundant natural light, blackout shades, and unique details like glass markerboards. The sleek kitchen boasts stainless steel appliances, a coffee","14 Everett St Unit 2, Medford, MA 02155",
"$3,300 per month",3 Beds,1 Bath,"1,277 Sq Ft",Townhouse for Rent,"A Lovely Spacious: 6 room 3 bedroom apartment, all hardwood floors, Lovely Modern Kitchen and Bath, off street parking for 3 cars. Laundry in unit (Reference #176133)","254 Harvard St, Medford, MA 02155",
"$4,000 per month",4 Beds,2 Baths,"2,000 Sq Ft",Apartment for Rent,"Welcome to this charming rental unit, ideally located just steps away from Tufts University. This spacious two-level unit features four generously sized bedrooms and two full bathrooms, making it perfect for students or families. The interior has been freshly painted, and the carpets have been professionally cleaned, providing a clean and inviting atmosphere. Enjoy the convenience of a brand-new","74 Windsor Rd Unit 2, Medford, MA 02155",Scarlett Tamburro
